company;rank;rank_change;revenue;profit;num. of employees;sector;city;state;newcomer;ceo_founder;ceo_woman;profitable;prev_rank;CEO;Website;Ticker;Market Cap
CSX;298;-6.0;12522.0;3781.0;20919.0;Transportation;Jacksonville;FL;no;no;no;yes;292.0;Joseph R. Hinrichs;https://www.csx.com;CSX;81587.8
Henry Schein;299;-1.0;12401.0;631.2;21600.0;Health Care;Melville;NY;no;no;no;yes;298.0;Stanley Bergman;https://www.henryschein.com;HSIC;8952
Sonic Automotive;300;8.0;12396.4;348.9;10200.0;Retailing;Charlotte;NC;no;no;no;yes;308.0;David Bruton Smith;https://www.sonicautomotive.com;SAH;1728.8
eBay;301;-25.0;12394.0;13608.0;10800.0;Technology;San Jose;CA;no;no;no;yes;276.0;Jamie Iannone;https://www.ebay.com;EBAY;33641.9
Textron;302;-37.0;12382.0;746.0;33000.0;Aerospace & Defense;Providence;RI;no;no;no;yes;265.0;Scott C. Donnelly;https://www.textron.com;TXT;16090.6
Jones Financial (Edward Jones);303;-8.0;12373.0;1605.0;50000.0;Financials;Des Peres;MO;no;no;yes;yes;295.0;Penny Pennington;https://www.edwardjones.com;;-
Community Health Systems;304;-45.0;12368.0;230.0;58500.0;Health Care;Franklin;TN;no;no;no;yes;259.0;Tim L. Hingtgen;https://www.chs.net;CYH;1598.6
Mosaic;305;41.0;12357.4;1630.6;12525.0;Chemicals;Tampa;FL;no;no;no;yes;346.0;"James C. O&#039;Rourke";https://www.mosaicco.com;MOS;24492.6
Thor Industries;306;62.0;12317.4;659.9;31000.0;Motor Vehicles & Parts;Elkhart;IN;no;no;no;yes;368.0;Robert Martin;https://www.thorindustries.com;THO;4273
Dick's Sporting Goods;307;13.0;12293.4;1519.9;34300.0;Retailing;Coraopolis;PA;no;no;yes;yes;320.0;Lauren R. Hobart;https://www.dickssportinggoods.com;DKS;7986.6
Newmont;308;-35.0;12222.0;1166.0;14400.0;Energy;Denver;CO;no;no;no;yes;273.0;Thomas R. Palmer;https://www.newmont.com;NEM;62968.1
Devon Energy;309;0.0;12206.0;2813.0;1600.0;Energy;Oklahoma City;OK;yes;no;no;yes; ;Richard E. Muncrief;https://www.devonenergy.com;DVN;39274.1
Warner Bros. Discovery;310;-20.0;12191.0;1006.0;11000.0;Media;New York;NY;no;no;no;yes;290.0;David M. Zaslav;https://https://wbd.com;WBD;12700.5
J.B. Hunt Transport Services;311;4.0;12168.3;760.8;33045.0;Transportation;Lowell;AR;no;no;no;yes;315.0;John N. Roberts III;https://www.jbhunt.com;JBHT;21052.9
Alcoa;312;18.0;12152.0;429.0;12200.0;Materials;Pittsburgh;PA;no;no;no;yes;330.0;Roy C. Harvey;https://www.alcoa.com;AA;16603.4
Peter Kiewit Sons';313;-70.0;12149.0;753.0;28800.0;Engineering & Construction;Omaha;NE;no;no;no;yes;243.0;Rick Lanoha;https://www.kiewit.com;;
Aramark;314;-79.0;12096.0;-90.8;248300.0;Business Services;Philadelphia;PA;no;no;no;no;235.0;John J. Zillmer;https://www.aramark.com;ARMK;9655.5
Vistra;315;-41.0;12077.0;-1274.0;5060.0;Energy;Irving;TX;no;no;no;no;274.0;James A. Burke;https://www.vistracorp.com;VST;10434.7
